username,joined
Yang Xinmeng (Abby Yang),2020년 6월 22일
Chen Zhong (Dechinghutay / Ghoti),2020년 4월 27일
Chinese Embassy in France,2019년 8월 25일
Chinese Embassy in Italy,2014년 6월 9일
Liao Liqiang,2022년 7월 8일
Media Challengers,2021년 1월 21일
Andy Boreham,2021년 1월 20일
We Are China,2018년 6월 6일
CGTN Assignment Asia,2013년 8월 13일
Ma Ye (Ayisha Elseenya / عائشة الصينية),2019년 7월 11일
Diba,2016년 2월 8일
Discover Jiangxi,2018년 1월 30일
Discover Beijing,2019년 9월 4일
Beijing Review,2010년 11월 11일
Belt and Road News Network,2019년 4월 18일
Chinese Embassy in Pakistan,2020년 2월 3일
CCTV+,2015년 1월 16일
CCTV News,2014년 7월 4일
China Daily Hong Kong,2010년 10월 13일
China Daily Sci-tech,2018년 5월 8일
Cen Ziyuan (Jasmine Cen),2017년 8월 24일
CGTN Inheritors,2019년 9월 9일
CGTN Style,2019년 9월 13일
CGTN Africa,2012년 10월 19일
CGTN America,2012년 6월 28일
CGTN DC Producers,2017년 2월 16일
CGTN Europe,2016년 12월 30일
CGTN Food,2019년 9월 13일
CGTN Français,2012년 7월 23일
CGTN Global Business,2018년 1월 22일
CGTN Graphics,2019년 12월 6일
CGTN,2013년 5월 2일
CGTN Sports Scene,2020년 7월 6일
CGTN Stories,2019년 11월 12일
CGTN Tech,2019년 11월 12일
CGTN Travel,2019년 10월 29일
CGTN Travelogue,2016년 7월 18일
Liu Chen,2020년 4월 18일
China Focus,2017년 10월 21일
Chinese Embassy in Ukraine,2019년 12월 12일
"Xiamen, China",2019년 8월 7일
CGTN China Takeaway,2020년 6월 29일
China Culture,2014년 11월 5일
China Daily,2009년 11월 5일
Chinese Embassy in Algeria,2014년 8월 30일
Chinese Embassy in Antigua and Barbuda,2021년 9월 23일
Chinese Embassy in Albania,2020년 12월 1일
Chinese Embassy in Mauritania,2019년 9월 5일
Chinese Embassy in New Zealand,2020년 2월 14일
Chinese Embassy in Netherlands,2015년 10월 20일
China.org.cn (English),2014년 1월 14일
People's Daily China Science,2020년 2월 27일
China Today,2015년 11월 29일
Chinese Embassy in Mali,2018년 8월 11일
Chinese Embassy in Morocco,2021년 11월 17일
Chinese Embassy in Papua New Guinea,2020년 2월 17일
Chinese Embassy in Uganda,2019년 10월 24일
Chinese Embassy in Jordan,2020년 7월 27일
Chinese Embassy in Russia,2019년 12월 3일
Chinese Embassy in United States,2018년 1월 26일
Chinese Embassy in Yemen,2020년 12월 17일
Chinese Embassy in Liberia,2021년 2월 17일
Chinese Embassy in Somalia,2014년 12월 23일
Chloé Zhou,2020년 4월 17일
Chinese Embassy in Egypt,2019년 8월 7일
Chinese Embassy in Japan,2021년 8월 25일
CRI Italian (Radio Cina Internazionale),2011년 12월 21일
CGTN Closer to China,2014년 1월 21일
China News Service (CNS) Agency,2013년 7월 16일
CRI Polish,2014년 4월 21일
Xu Zhike (Coco Studio),2020년 1월 21일
CMG Hindi,2013년 2월 22일
CRI Türkçe,2016년 8월 10일
CRI Arabic,2013년 3월 25일
CRI Français,2013년 4월 9일
CRI German,2012년 4월 18일
CRI Greek,2014년 5월 15일
CRI Hausa,2013년 4월 20일
CRI Japanese,2013년 9월 6일
CRI Pashto,2013년 4월 2일
CRI Sinhala,2012년 3월 12일
